                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4889,                 1.4178,                0.90695,                0.67122,                0.42292,                0.42813,                0.22056,                 1.2461,                 1.3197,                0.85906,              0.0004096,              0.0004096,              0.0004096
                      2,                  1.437,                0.91453,                0.88061,                0.62847,                0.55143,                0.53946,                0.29788,                 1.2743,                0.78728,                0.86756,             0.00080991,             0.00080991,             0.00080991
                      3,                 1.3865,                0.89422,                0.87206,                0.58637,                0.65629,                0.60917,                0.35812,                 1.1849,                 0.7621,                0.86227,              0.0011937,              0.0011937,              0.0011937
                      4,                 1.3798,                0.81898,                0.87041,                0.61574,                 0.5596,                0.57854,                0.30988,                 1.2411,                0.74609,                0.85406,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.3076,                0.75559,                0.85903,                0.67335,                  0.615,                 0.6551,                0.37592,                 1.3004,                0.77714,                 0.8707,              0.0011757,              0.0011757,              0.0011757
                      6,                  1.323,                0.73284,                0.86082,                0.79088,                0.54889,                0.65438,                0.36063,                 1.1867,                0.68417,                0.86201,               0.001151,               0.001151,               0.001151
                      7,                 1.2537,                0.68493,                0.86031,                0.87525,                0.61893,                0.71187,                0.43953,                 1.1231,                0.63705,                0.84716,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.2664,                0.71545,                0.84824,                0.80678,                0.59853,                 0.6845,                0.39671,                 1.1295,                0.64532,                0.84583,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.1845,                0.66513,                0.84397,                0.81268,                0.63736,                0.72037,                0.42888,                 1.0576,                0.57524,                0.83594,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.1999,                0.64403,                0.83901,                0.83688,                0.65754,                0.74183,                0.45965,                 1.0371,                0.55876,                0.83258,               0.001052,               0.001052,               0.001052
                     11,                 1.1761,                0.64611,                0.83831,                0.84587,                0.67734,                  0.752,                0.46865,                   1.03,                0.56217,                0.82944,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.1697,                0.61871,                0.84118,                0.79303,                 0.6981,                0.73516,                0.46381,                  1.028,                0.54853,                0.83517,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.1628,                0.61443,                 0.8364,                0.83833,                 0.6503,                0.72412,                0.43647,                 1.0835,                0.61227,                 0.8391,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.1627,                0.65478,                0.83932,                0.87463,                 0.6926,                0.74917,                0.46119,                 1.0213,                0.55138,                0.83347,               0.000953,               0.000953,               0.000953
                     15,                 1.1822,                0.61703,                 0.8366,                0.93616,                0.62418,                0.75959,                0.46107,                 1.0597,                0.56352,                0.83322,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.1635,                0.60946,                 0.8338,                0.85899,                0.69458,                0.75822,                0.45984,                 1.0544,                0.58266,                0.84043,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.1275,                0.58702,                0.83229,                0.77727,                0.70583,                 0.7524,                0.46357,                 1.0255,                0.55341,                0.83247,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.1035,                 0.5694,                0.83039,                0.86326,                0.73109,                0.78503,                0.50163,                0.96782,                 0.5153,                0.82863,               0.000854,               0.000854,               0.000854
                     19,                 1.0817,                0.55445,                 0.8263,                0.86268,                 0.7247,                0.78504,                0.49562,                 0.9592,                0.50475,                 0.8232,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.0599,                0.53403,                0.82412,                0.81513,                0.72765,                0.77437,                0.49366,                0.95675,                0.49765,                0.82431,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.1084,                 0.5555,                0.82482,                0.86789,                0.70111,                0.77227,                 0.4766,                0.99314,                 0.5326,                0.82841,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.0917,                 0.5644,                0.82729,                0.87203,                0.67488,                0.76262,                0.45417,                 1.0283,                0.56002,                 0.8272,               0.000755,               0.000755,               0.000755
                     23,                 1.1028,                 0.5738,                 0.8245,                  0.842,                0.70476,                0.76368,                0.48746,                0.94291,                0.51146,                0.82446,             0.00073025,             0.00073025,             0.00073025
                     24,                  1.101,                0.55326,                0.83571,                0.87534,                0.74134,                0.78077,                 0.4959,                0.95252,                0.52838,                0.82371,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.0737,                0.54181,                0.82415,                0.87795,                0.71598,                0.77716,                0.48874,                0.97779,                0.51159,                0.82413,             0.00068075,             0.00068075,             0.00068075
                     26,                 1.0753,                0.52411,                0.81728,                0.77736,                0.76057,                0.77621,                0.50156,                0.93194,                0.49887,                0.82255,               0.000656,               0.000656,               0.000656
                     27,                 1.0358,                0.50557,                 0.8171,                0.85282,                0.75271,                0.79811,                0.50099,                0.92756,                0.48425,                0.81957,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.0273,                0.50576,                0.81483,                0.95954,                0.71887,                0.78414,                 0.5073,                0.96093,                0.48424,                0.82431,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.0404,                0.52051,                 0.8164,                0.91646,                0.75505,                0.79048,                 0.5035,                0.92573,                0.48718,                0.82012,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.0237,                0.51113,                0.81491,                0.89137,                0.74894,                0.77539,                0.49986,                0.95283,                0.49541,                0.82101,               0.000557,               0.000557,               0.000557
                     31,                  1.092,                0.53754,                0.82004,                0.90085,                0.73873,                 0.7843,                0.49413,                0.97862,                0.50824,                0.82537,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.0951,                0.53898,                0.82377,                0.83094,                0.76144,                0.78557,                0.51038,                0.91169,                0.47952,                0.82321,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.0233,                0.50424,                0.81681,                0.88932,                0.71878,                0.78628,                 0.5103,                 0.9098,                0.47653,                0.82162,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.0027,                0.49359,                0.81393,                0.90476,                0.74183,                0.80212,                0.51411,                0.92643,                0.47326,                0.81673,               0.000458,               0.000458,               0.000458
                     35,                0.97667,                0.48099,                0.81427,                0.88884,                0.77428,                0.80596,                0.51726,                0.91863,                0.47895,                0.81949,             0.00043325,             0.00043325,             0.00043325
                     36,                0.98379,                0.53111,                0.81353,                0.90821,                0.76906,                0.81615,                0.53846,                0.90282,                0.46067,                0.81936,              0.0004085,              0.0004085,              0.0004085
                     37,                0.96761,                0.47324,                0.81002,                0.89853,                0.76896,                 0.8133,                0.53577,                0.88625,                0.45565,                0.81824,             0.00038375,             0.00038375,             0.00038375
                     38,                0.98136,                0.47246,                0.81017,                0.91938,                0.73522,                0.79984,                0.53308,                0.86743,                0.44229,                0.81501,               0.000359,               0.000359,               0.000359
                     39,                0.96921,                0.46803,                0.81059,                0.89928,                0.76154,                0.80764,                0.53429,                0.89924,                0.44692,                0.81874,             0.00033425,             0.00033425,             0.00033425
                     40,                0.94857,                0.46128,                0.81062,                0.89595,                0.76391,                0.80457,                0.53364,                0.88728,                0.45278,                0.81818,              0.0003095,              0.0003095,              0.0003095
                     41,                0.89272,                0.43868,                0.81131,                0.93429,                0.75025,                0.80649,                0.52183,                0.90012,                0.45362,                0.81642,             0.00028475,             0.00028475,             0.00028475
                     42,                0.86696,                0.42948,                0.80886,                0.93538,                0.76155,                0.81776,                0.52915,                0.88999,                0.45348,                0.81722,                0.00026,                0.00026,                0.00026
                     43,                0.88307,                0.43204,                0.81182,                0.91844,                0.74861,                0.80558,                0.51898,                0.90134,                0.46207,                0.82196,             0.00023525,             0.00023525,             0.00023525
                     44,                0.88137,                0.44009,                0.80889,                0.91571,                0.75369,                0.80648,                0.53815,                0.88754,                0.44772,                0.81625,              0.0002105,              0.0002105,              0.0002105
                     45,                0.86982,                0.42563,                 0.8108,                0.89851,                0.77345,                0.80889,                0.53512,                0.87497,                0.43771,                0.81583,             0.00018575,             0.00018575,             0.00018575
                     46,                0.86584,                 0.4234,                0.80803,                0.88562,                0.74675,                0.80415,                0.53263,                0.88432,                  0.438,                 0.8162,               0.000161,               0.000161,               0.000161
                     47,                0.84807,                0.40873,                0.80576,                0.89392,                0.77442,                0.81091,                0.53139,                0.87536,                0.43117,                 0.8155,             0.00013625,             0.00013625,             0.00013625
                     48,                0.83036,                0.40752,                0.80343,                0.89464,                0.77628,                0.80518,                0.53389,                0.86295,                0.43602,                0.81578,              0.0001115,              0.0001115,              0.0001115
                     49,                0.83425,                0.40161,                0.80494,                0.90186,                0.76514,                0.81057,                0.54362,                0.85659,                0.42424,                0.81451,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.80848,                0.39186,                0.80059,                0.90543,                0.76091,                0.81759,                0.55019,                0.84348,                0.41752,                0.81276,                6.2e-05,                6.2e-05,                6.2e-05
